iter	Logloss
0	0.6789042168
10	0.607694391
20	0.5839811215
30	0.5720504342
40	0.5660313176
50	0.5624557794
60	0.5598946304
70	0.5583461888
80	0.5569142754
90	0.5556878137
100	0.5545601302
110	0.5534170193
120	0.5523329363
130	0.551382985
140	0.5503468412
150	0.5494525524
160	0.5487491995
170	0.547763268
180	0.5468538678
190	0.5460660147
200	0.5451529565
210	0.5442857254
220	0.5433661531
230	0.5427078228
240	0.5420559252
250	0.5413270026
260	0.5404349783
270	0.5394012098
280	0.5381562795
290	0.5370826761
300	0.5361963655
310	0.5353262525
320	0.5341992209
330	0.5331723068
340	0.5322240732
350	0.531274211
360	0.5302052594
370	0.529344634
380	0.5284844592
390	0.5274736638
400	0.5265107927
410	0.5255800868
420	0.5246053634
430	0.5236788547
440	0.5225908463
450	0.5217850017
460	0.5211365026
470	0.5202647039
480	0.519525028
490	0.5188114371
500	0.5176481003
510	0.5166793536
520	0.5156145714
530	0.5148814456
540	0.5141458641
550	0.5133829744
560	0.5126286866
570	0.5117890391
580	0.5108952981
590	0.5100130542
600	0.509216821
610	0.5085574167
620	0.5077487091
630	0.5067868313
640	0.5059340601
650	0.5049690549
660	0.5040078055
670	0.5033182733
680	0.5024203252
690	0.501540339
700	0.5008079128
710	0.499917274
720	0.4993615394
730	0.4984754179
740	0.4975693742
750	0.4968172161
760	0.4961543781
770	0.4956203988
780	0.4947920108
790	0.4936325968
800	0.4928771777
810	0.4918472487
820	0.4909301647
830	0.4900256101
840	0.4891801604
850	0.4881302461
860	0.4872348591
870	0.4864477398
880	0.4856768734
890	0.484900374
900	0.4842028114
910	0.4836095948
920	0.4826816421
930	0.481951001
940	0.4812328484
950	0.4802795219
960	0.4793732823
970	0.4785751119
980	0.4778186998
990	0.4769301248
999	0.4762684771
