iter	Passed	Remaining
0	406	406546
1	813	405710
2	1172	389810
3	1542	384195
4	1849	368002
5	2167	359088
6	2507	355693
7	2857	354369
8	3216	354189
9	3565	352952
10	3928	353202
11	4270	351634
12	4620	350787
13	5045	355324
14	5411	355327
15	5823	358143
16	5972	345342
17	6370	347550
18	6736	347830
19	7091	347463
20	7478	348661
21	7846	348830
22	8257	350752
23	8610	350167
24	8872	346040
25	9206	344875
26	9535	343615
27	9837	341492
28	10172	340591
29	10568	341704
30	10928	341595
31	11326	342622
32	11645	341245
33	11983	340468
34	12330	339968
35	12683	339641
36	13047	339598
37	13414	339590
38	13777	339486
39	14097	338333
40	14395	336723
41	14759	336650
42	15124	336605
43	15476	336272
44	15826	335865
45	16178	335534
46	16569	335964
47	16887	334935
48	17236	334530
49	17646	335290
50	18031	335536
51	18414	335703
52	18758	335178
53	19059	333886
54	19547	335866
55	19884	335202
56	20200	334193
57	20529	333423
58	20909	333489
59	21227	332558
60	21732	334542
61	22109	334488
62	22470	334202
63	22938	335479
64	23302	335195
65	23639	334531
66	23986	334027
67	24326	333412
68	24656	332685
69	24982	331909
70	25303	331088
71	25639	330465
72	25988	330020
73	26310	329242
74	26664	328867
75	26987	328109
76	27319	327482
77	27686	327266
78	28056	327086
79	28417	326805
80	28731	325979
81	29040	325113
82	29372	324513
83	29657	323409
84	29984	322772
85	30351	322578
86	30704	322223
87	31070	322004
88	31422	321637
89	31718	320705
90	32056	320207
91	32354	319321
92	32693	318848
93	33028	318339
94	33397	318158
95	33733	317652
96	33928	315849
97	34250	315248
98	34579	314711
99	34931	314381
100	35266	313905
101	35701	314312
102	36065	314087
103	36430	313864
104	36811	313771
105	37116	313039
106	37474	312758
107	37773	311977
108	38153	311880
109	38554	311941
110	38955	311993
111	39282	311454
112	39625	311040
113	40001	310892
114	40345	310483
115	40669	309928
116	40978	309264
117	41357	309126
118	41700	308723
119	42074	308549
120	42462	308464
121	42825	308203
122	43176	307848
123	43511	307384
124	43892	307249
125	44279	307148
126	44648	306913
127	44741	304802
128	45056	304216
129	45442	304116
130	45799	303815
131	46163	303557
132	46541	303397
133	46913	303187
134	47289	303003
135	47645	302691
136	48026	302533
137	48348	302000
138	48691	301606
139	49053	301330
140	49435	301170
141	49818	301017
