iter	Passed	Remaining
0	467	467069
1	747	373079
2	1044	347000
3	1407	350495
4	1754	349111
5	2123	351773
6	2514	356720
7	2892	358670
8	3267	359813
9	3655	361892
10	4028	362159
11	4435	365191
12	4799	364360
13	5213	367164
14	5528	363062
15	5805	357025
16	6088	352048
17	6442	351495
18	6739	347963
19	7076	346732
20	7426	346211
21	7764	345148
22	8084	343398
23	8364	340162
24	8748	341183
25	9022	338015
26	9256	333563
27	9574	332377
28	9872	330573
29	10163	328627
30	10536	329336
31	10886	329318
32	11192	327971
33	11456	325506
34	11807	325558
35	12176	326065
36	12500	325361
37	12854	325428
38	13189	325012
39	13465	323171
40	13751	321650
41	14087	321329
42	14389	320257
43	14748	320448
44	15107	320621
45	15467	320785
46	15827	320919
47	16184	320985
48	16487	319998
49	16817	319540
50	17175	319605
51	17532	319627
52	17857	319073
53	18149	317948
54	18503	317916
55	18885	318352
56	19093	315881
57	19437	315689
58	19768	315297
59	20102	314946
60	20469	315100
61	20907	316307
62	21330	317247
63	21837	319366
64	22396	322160
65	23045	326126
66	23838	331964
67	24500	335795
68	25204	340078
69	25831	343185
70	26379	345159
71	26836	345891
72	27240	345918
73	27681	346389
74	28183	347600
75	28729	349285
76	29187	349867
77	29868	353062
78	30338	353691
79	30951	355936
80	31429	356591
81	31849	356562
82	32349	357406
83	32781	357473
84	33401	359557
85	33906	360351
86	34480	361845
87	35453	367428
88	36363	372210
89	37219	376329
90	37454	374132
91	38277	377787
92	38986	380222
93	39572	381411
94	40259	383524
95	41116	387180
96	41851	389603
97	42459	390803
98	43050	391801
99	43403	390631
100	43779	389679
101	44206	389186
102	44591	388331
103	45001	387701
104	45108	384499
105	45508	383819
106	45894	383026
107	46262	382092
108	46441	379630
109	46787	378554
110	47147	377603
111	47614	377514
112	48150	377958
113	48631	377964
114	48760	375247
115	49154	374592
116	49581	374192
117	50004	373762
118	50569	374382
119	51231	375701
120	51770	376082
121	52240	375957
122	52788	376385
123	53921	380931
124	55051	385360
125	55816	387174
126	56590	389004
127	57194	389637
128	57647	389231
129	58070	388628
130	58605	388762
131	59264	389708
132	59843	390105
133	60548	391305
134	60987	390774
135	61482	390591
136	61977	390413
137	62185	388434
138	62689	388312
139	63098	387607
140	63500	386858
141	63949	386400
142	64436	386167
143	64883	385698
144	65366	385436
145	65893	385430
146	66528	386049
147	66660	383749
148	67024	382805
149	67527	382656
150	67972	382175
151	68482	382057
152	68907	381466
153	69425	381389
154	70029	381774
155	70637	382164
156	71508	383959
157	72018	383792
158	72490	383426
159	72926	382863
160	73449	382759
161	73889	382219
162	74275	381401
163	74692	380748
164	75027	379682
165	75460	379118
166	75969	378939
167	76384	378284
168	77326	380224
169	77903	380352
170	78343	379807
171	78754	379118
172	79406	379590
173	79913	379359
174	80590	379925
175	81052	379475
176	81868	380663
177	82490	380937
178	82887	380168
179	83396	379918
180	84033	380238
181	84783	381060
182	85333	380969
183	85912	381005
184	86526	381184
185	86650	379211
186	87073	378559
187	87578	378262
188	88021	377700
189	88451	377082
190	88576	375174
191	88984	374475
192	89389	373769
193	89750	372879
194	90067	371818
195	90422	370918
196	90801	370120
197	91192	369375
198	91300	367495
199	91696	366786
200	92041	365877
201	92458	365256
202	92675	363853
203	93091	363237
204	93531	362718
205	93892	361897
206	94243	361037
207	94637	360351
208	95046	359721
209	95430	358999
210	95806	358250
211	96251	357763
212	96663	357154
213	96995	356255
214	97340	355407
215	97689	354577
216	98083	353913
217	98525	353428
218	98933	352817
219	99316	352123
220	99698	351424
221	100087	350757
222	100454	350013
223	100807	349224
224	101161	348446
225	101582	347896
226	101970	347239
227	102347	346545
228	102723	345851
229	103118	345222
230	103521	344622
231	103900	343947
232	104216	343066
233	104589	342372
234	104993	341786
235	105402	341218
236	105751	340455
237	106133	339805
238	106625	339506
239	107090	339118
240	107549	338713
241	107976	338206
242	108328	337469
243	108758	336972
244	109162	336397
245	109559	335804
246	109959	335221
247	110370	334670
248	110755	334044
249	111108	333326
250	111479	332661
251	111840	331970
252	112202	331285
253	112590	330678
254	112981	330083
255	113416	329617
256	113807	329024
257	114170	328350
258	114522	327649
259	114895	327009
260	115222	326242
261	115594	325605
262	115945	324912
263	116332	324320
264	116710	323705
265	117036	322949
266	117402	322307
267	117740	321589
268	118108	320956
269	118453	320264
270	118894	319830
271	119264	319207
272	119597	318489
273	119971	317880
274	120356	317303
275	120710	316645
276	121105	316098
277	121490	315524
278	121859	314913
279	122252	314364
280	122570	313623
281	122895	312905
282	123252	312269
283	123646	311728
284	124005	311101
285	124436	310656
286	124868	310212
287	125236	309611
288	125576	308944
289	125908	308258
290	126260	307625
291	126634	307044
292	126948	306323
293	127296	305685
294	127660	305087
295	128010	304457
296	128391	303903
297	128764	303331
298	129086	302641
299	129452	302056
300	129795	301419
301	130191	300906
302	130556	300323
303	130907	299708
304	131290	299170
305	131682	298652
306	132118	298234
307	132496	297686
308	132824	297027
309	133162	296393
310	133519	295804
311	133902	295272
312	134283	294736
313	134644	294158
314	135035	293648
315	135432	293150
316	135869	292739
